#dist (cm)	xi			T(K)		n_H (cm^-3)
 2.5974E+25  1.7187E-01  1.4607E+04  7.0000E-05  
 2.6077E+25  1.7188E-01  1.4598E+04  7.0000E-05  
 2.6180E+25  1.7188E-01  1.4589E+04  7.0000E-05  
 2.6282E+25  1.7189E-01  1.4579E+04  7.0000E-05  
 2.6385E+25  1.7189E-01  1.4571E+04  7.0000E-05  
 2.6488E+25  1.7189E-01  1.4562E+04  7.0000E-05  
 2.6591E+25  1.7190E-01  1.4553E+04  7.0000E-05  
 2.6694E+25  1.7190E-01  1.4545E+04  7.0000E-05  
 2.6797E+25  1.7191E-01  1.4537E+04  7.0000E-05  
 2.6900E+25  1.7191E-01  1.4529E+04  7.0000E-05  
 2.7003E+25  1.7191E-01  1.4521E+04  7.0000E-05  
 2.7105E+25  1.7192E-01  1.4513E+04  7.0000E-05  
 2.7208E+25  1.7192E-01  1.4506E+04  7.0000E-05  
 2.7311E+25  1.7192E-01  1.4499E+04  7.0000E-05  
 2.7414E+25  1.7193E-01  1.4491E+04  7.0000E-05  
 2.7517E+25  1.7193E-01  1.4484E+04  7.0000E-05  
 2.7620E+25  1.7193E-01  1.4477E+04  7.0000E-05  
 2.7723E+25  1.7193E-01  1.4470E+04  7.0000E-05  
 2.7825E+25  1.7194E-01  1.4463E+04  7.0000E-05  
 2.7928E+25  1.7194E-01  1.4456E+04  7.0000E-05  
 2.8031E+25  1.7194E-01  1.4449E+04  7.0000E-05  
 2.8134E+25  1.7195E-01  1.4442E+04  7.0000E-05  
 2.8237E+25  1.7195E-01  1.4436E+04  7.0000E-05  
 2.8340E+25  1.7195E-01  1.4430E+04  7.0000E-05  
 2.8443E+25  1.7195E-01  1.4423E+04  7.0000E-05  
 2.8546E+25  1.7196E-01  1.4417E+04  7.0000E-05  
 2.8648E+25  1.7196E-01  1.4411E+04  7.0000E-05  
 2.8751E+25  1.7196E-01  1.4406E+04  7.0000E-05  
 2.8854E+25  1.7197E-01  1.4400E+04  7.0000E-05  
 2.8957E+25  1.7197E-01  1.4394E+04  7.0000E-05  
 2.9060E+25  1.7197E-01  1.4388E+04  7.0000E-05  
 2.9163E+25  1.7197E-01  1.4383E+04  7.0000E-05  
 2.9266E+25  1.7197E-01  1.4377E+04  7.0000E-05  
 2.9368E+25  1.7198E-01  1.4371E+04  7.0000E-05  
 2.9471E+25  1.7198E-01  1.4366E+04  7.0000E-05  
 2.9574E+25  1.7198E-01  1.4361E+04  7.0000E-05  
 2.9677E+25  1.7198E-01  1.4355E+04  7.0000E-05  
 2.9780E+25  1.7199E-01  1.4350E+04  7.0000E-05  
 2.9883E+25  1.7199E-01  1.4345E+04  7.0000E-05  
 2.9986E+25  1.7199E-01  1.4340E+04  7.0000E-05  
 3.0089E+25  1.7199E-01  1.4335E+04  7.0000E-05  
 3.0191E+25  1.7199E-01  1.4330E+04  7.0000E-05  
 3.0294E+25  1.7200E-01  1.4325E+04  7.0000E-05  
 3.0397E+25  1.7200E-01  1.4321E+04  7.0000E-05  
 3.0500E+25  1.7200E-01  1.4316E+04  7.0000E-05  
 3.0603E+25  1.7200E-01  1.4312E+04  7.0000E-05  
 3.0706E+25  1.7200E-01  1.4307E+04  7.0000E-05  
 3.0809E+25  1.7201E-01  1.4303E+04  7.0000E-05  

